PRICELIST    KITCHEN    EQUIPMENT    PT    EDO    MANDIRI    PRATAMA;;;;;;
AREA;ALAT;Dimensi(mm); HARGA ;QTY; JUMLAH ;
AREA DATANG BARANG;Timbangan 150kg;400x500 mm; Rp900.000 ;1; Rp900.000 ;
;Loading Trolley;450x725x920; Rp2.500.000 ;2; Rp5.000.000 ;
;Transit Table Backsplash;1500x600x850; Rp3.200.000 ;1; Rp3.200.000 ;
;Single Sink Knockdown;600x600x800; Rp2.400.000 ;1; Rp2.400.000 ;
AREA CUCI OMPRENG;Triple Sink Knockdown;1200x600x800; Rp4.000.000 ;2; Rp8.000.000 ;
;Long Sink Knockdown;1700x600x800; Rp4.000.000 ;2; Rp8.000.000 ;
;Grease Trap;500x300x300; Rp1.300.000 ;2; Rp2.600.000 ;
;Pengering 210 Tray;LISTRIK; Rp11.000.000 ;1; Rp11.000.000 ;
;Water Heater 30L;ARISTON; Rp4.500.000 ;1; Rp4.500.000 ;
;Rak Tiris 4 Susun Knockdown;1500x500x1550; Rp3.200.000 ;2; Rp6.400.000 ;
GUDANG KERING & ALAT;Solid Rak 4 Susun Knockdown;1500x500x1550; Rp3.000.000 ;4; Rp12.000.000 ;
;Palet Plastik;100x100x15; Rp380.000 ;4; Rp1.520.000 ;
AREA GUDANG BASAH;Chest Frezeer;500 L; Rp9.000.000 ;1; Rp9.000.000 ;
;Showcase 2 Pintu;1400x600x2000; Rp10.500.000 ;1; Rp10.500.000 ;
;Solid Rack 4 Tier Knockdown;1500x500x1550; Rp3.000.000 ;4; Rp12.000.000 ;
AREA MASAK;Rice Steamer 12 tray;720x650x1650; Rp9.500.000 ;3; Rp28.500.000 ;
;Gas Stock Pot High Pressure;600x600x500; Rp3.200.000 ;3; Rp9.600.000 ;
;Gas Stock Pot Low Pressure;500x500x760; Rp2.500.000 ;2; Rp5.000.000 ;
;Kwali Range Single;485x600x800; Rp2.800.000 ;1; Rp2.800.000 ;
;Kwali Range Double w/ Blower;1300x800 x 800/1150; Rp8.500.000 ;1; Rp8.500.000 ;
;Transit Table Backsplash;1500x600x850; Rp3.200.000 ;2; Rp6.400.000 ;
;Gastronom;380x550x1750; Rp2.300.000 ;2; Rp4.600.000 ;
;Double Sink Knockdown;1200x600x800; Rp3.000.000 ;1; Rp3.000.000 ;
AREA PERSIAPAN;Service Trolley 3 Tiers;805x460x905; Rp2.300.000 ;2; Rp4.600.000 ;
;Service Trolley 2 Tier;805x460x900; Rp2.100.000 ;1; Rp2.100.000 ;
;Working Table Knockdown;2000x800x800; Rp4.000.000 ;4; Rp16.000.000 ;
;Food Tray Stainless;Tinggi 6cm; Rp35.000 ;2500; Rp87.500.000 ;
AREA PEMORSIAN;Meja Pemorsian Knockdown;2000x800x800; Rp4.000.000 ;4; Rp16.000.000 ;
;Meja Rail Pemorsian;3000x1300x800; Rp5.000.000 ;2; Rp10.000.000 ;
;Solid Rack 4 Tier Knockdown;1500x500x1550; Rp3.000.000 ;2; Rp6.000.000 ;
PELENGKAP DAPUR;Talenan Kayu;42x29,5x26; Rp70.000 ;8; Rp560.000 ;
;Talenan Daging;45cm; Rp185.000 ;4; Rp740.000 ;
;Cadangan Tray;50x30x7cm; Rp160.000 ;24; Rp3.840.000 ;
;Pisau Daging sus 304;30x17x8cm; Rp150.000 ;5; Rp750.000 ;
;Pisau Buah sus 304;24cm; Rp85.000 ;5; Rp425.000 ;
;Pisau Sayur sus 304;33x21x4,5cm; Rp75.000 ;5; Rp375.000 ;
;Manual Peeler Stainless;; Rp15.000 ;10; Rp150.000 ;
;Panci (Stock Pot);44,5x34; Rp850.000 ;3; Rp2.550.000 ;
;Kukusan (Steamer) 3 Tingkat;55,5x 55,5x 48cm; Rp1.000.000 ;2; Rp2.000.000 ;
;Presto 12 Liter;45 x 34 x 32 cm; Rp550.000 ;2; Rp1.100.000 ;
;Spatula;; Rp130.000 ;8; Rp1.040.000 ;
;Gayung Stainless;; Rp130.000 ;1; Rp130.000 ;
;Wajan Besar 80cm;; Rp650.000 ;4; Rp2.600.000 ;
;Wajan Besar 60cm;; Rp550.000 ;3; Rp1.650.000 ;
;Wajan Besar 55cm;; Rp425.000 ;2; Rp850.000 ;
;Food Pan ;52x32x15 cm; Rp135.000 ;20; Rp2.700.000 ;
Lainnya;Topi masak;Isi 50 pcs; Rp185.000 ;50; Rp9.250.000 ;
;Apron;All size;;;;
;Baju;All size;;;;
;Sendal Dapur;All Size;;;;
;Masker;5; BONUS ;;;
;Hand Gloves plastik isi 100;;;;;
;Sabun Cuci Piring Food Grade;;;;;
;Sponge;;;;;
;Tempat Sampah 70 Liter;; Rp300.000 ;3; Rp900.000 ;
;Double Sink Knockdown;1200x600x800; Rp3.000.000 ;3; Rp9.000.000 ;
;Tempat Sampah 100 Liter;; Rp450.000 ;2; Rp900.000 ;
;Rak Sepatu Karyawan Stainless;; Rp250.000 ;2; Rp500.000 ;
;Loker Karyawan 24 Pintu;; Rp3.200.000 ;2; Rp6.400.000 ;
Total;;;;; Rp356.030.000 ;
;;;;;;
REQUEST TAMBAHAN;;;;;;
AREA;ALAT;Dimensi(mm); HARGA ;PAKET PREMIUM LENGKAP;;
;;; SATUAN ;QTY; TOTAL PRICE ;
Lainnya;Mesin Potong Sayur;; Rp5.500.000 ;1; Rp5.500.000 ;
;Blender 2 liter;; Rp1.200.000 ;2; Rp2.400.000 ;
;Timbangan 40kg;; Rp350.000 ;1; Rp350.000 ;
;Baskom Solid Stainless;80cm; Rp150.000 ;6; Rp900.000 ;
;Baskom Sungku Lubang;70cm; Rp185.000 ;6; Rp1.110.000 ;
;Asahan Pisau;; Rp500.000 ;4; Rp2.000.000 ;
;Sendok Nasi Stainless;; Rp25.000 ;10; Rp250.000 ;
;APAR Powder 3 Kg;; Rp450.000 ;3; Rp1.350.000 ;
;P3K dan isinya;; Rp300.000 ;1; Rp300.000 ;
;Insect Killer;; Rp350.000 ;4; Rp1.400.000 ;
;Alat Ukur Suhu Ruangan;; Rp200.000 ;2; Rp400.000 ;
;Gantungan Pakaian;; Rp175.000 ;2; Rp350.000 ;
